技能名,卡片类型,正面,背面,标签,出处
横向领导力,框架概览,【横向领导力】核心框架,"【核心】横向领导力<br><br>【是什么】这是什么

基于 [美]罗杰·费希尔《横向领导力》中关于「横向领导力」的核心方法。<br><br>",横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,操作步骤,【横向领导力】第1步：学习「横向领导力」的核心要点和关键方法,【横向领导力】第1步<br><br><b>操作：</b>学习「横向领导力」的核心要点和关键方法<br><br><i>来源：《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,操作步骤,【横向领导力】第2步：在真实场景中练习和应用所学内容,【横向领导力】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,操作步骤,【横向领导力】第3步：反思总结，将方法内化为自己的能力,【横向领导力】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 1,【横向领导力】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 2,【横向领导力】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 3,【横向领导力】练习场景<br><br>需要应用「横向领导力」的各种场景<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 4,【横向领导力】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 5,【横向领导力】练习场景<br><br>教练：「关于「横向领导力」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
横向领导力,练习场景,【横向领导力】练习场景 6,【横向领导力】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,横向领导力 美罗杰费希尔-教练 学习横向领导力的核心要点和关键方法,《横向领导力》[美]罗杰·费希尔 | 王美惠+ | - **日期**：
