技能名,卡片类型,正面,背面,标签,出处
亲子沟通技巧,框架概览,【亲子沟通技巧】核心框架,"【核心】亲子沟通技巧<br><br>【是什么】这是什么

基于 [美]阿黛尔•法伯 伊莱恩•玛兹丽施《如何说孩子才会听，怎么听孩子才肯说》中关于「亲子沟通技巧」的核心方法。<br><br>",亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,操作步骤,【亲子沟通技巧】第1步：学习「亲子沟通技巧」的核心要点和关键方法,【亲子沟通技巧】第1步<br><br><b>操作：</b>学习「亲子沟通技巧」的核心要点和关键方法<br><br><i>来源：《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,操作步骤,【亲子沟通技巧】第2步：在真实场景中练习和应用所学内容,【亲子沟通技巧】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,操作步骤,【亲子沟通技巧】第3步：反思总结，将方法内化为自己的能力,【亲子沟通技巧】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 1,【亲子沟通技巧】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 2,【亲子沟通技巧】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 3,【亲子沟通技巧】练习场景<br><br>需要应用「亲子沟通技巧」的各种场景<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 4,【亲子沟通技巧】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 5,【亲子沟通技巧】练习场景<br><br>教练：「关于「亲子沟通技巧」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 6,【亲子沟通技巧】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
亲子沟通技巧,练习场景,【亲子沟通技巧】练习场景 7,【亲子沟通技巧】练习场景<br><br>用户：（描述自己的情况）<br><br><i>运用所学的步骤进行练习</i>,亲子沟通技巧 美阿黛尔法伯-伊莱恩玛兹丽施-教练 学习亲子沟通技巧的核心要点和关键方法,《如何说孩子才会听，怎么听孩子才肯说》[美]阿黛尔•法伯 伊莱恩•玛兹丽施 | 仙妮诗 | TF2-2
