技能名,卡片类型,正面,背面,标签,出处
提升自控力，获得人生掌控权,框架概览,【提升自控力，获得人生掌控权】核心框架,"【核心】提升自控力，获得人生掌控权<br><br>【是什么】这是什么

基于 [美]  凯利·麦格尼格尔《自控力》中关于「提升自控力，获得人生掌控权」的核心方法。<br><br>",提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,操作步骤,【提升自控力，获得人生掌控权】第1步：学习「提升自控力，获得人生掌控权」的核心要点和关键方法,【提升自控力，获得人生掌控权】第1步<br><br><b>操作：</b>学习「提升自控力，获得人生掌控权」的核心要点和关键方法<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,操作步骤,【提升自控力，获得人生掌控权】第2步：在真实场景中练习和应用所学内容,【提升自控力，获得人生掌控权】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,操作步骤,【提升自控力，获得人生掌控权】第3步：反思总结，将方法内化为自己的能力,【提升自控力，获得人生掌控权】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 1,【提升自控力，获得人生掌控权】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 2,【提升自控力，获得人生掌控权】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 3,【提升自控力，获得人生掌控权】练习场景<br><br>需要应用「提升自控力，获得人生掌控权」的各种场景<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 4,【提升自控力，获得人生掌控权】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 5,【提升自控力，获得人生掌控权】练习场景<br><br>教练：「关于「提升自控力，获得人生掌控权」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
提升自控力，获得人生掌控权,练习场景,【提升自控力，获得人生掌控权】练习场景 6,【提升自控力，获得人生掌控权】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,提升自控力获得人生掌控权 美-凯利麦格尼格尔-教练 学习提升自控力获得人生掌控权的核心要点和关键方法,《自控力》[美]  凯利·麦格尼格尔 | YJ | TF2-4
