技能名,卡片类型,正面,背面,标签,出处
善用上司长处 管理卓有成效,框架概览,【善用上司长处 管理卓有成效】核心框架,"【核心】善用上司长处 管理卓有成效<br><br>【是什么】这是什么

基于 [美] 彼得·德鲁克《卓有成效的管理者》中关于「善用上司长处 管理卓有成效」的核心方法。<br><br>",善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,操作步骤,【善用上司长处 管理卓有成效】第1步：学习「善用上司长处 管理卓有成效」的核心要点和关键方法,【善用上司长处 管理卓有成效】第1步<br><br><b>操作：</b>学习「善用上司长处 管理卓有成效」的核心要点和关键方法<br><br><i>来源：《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,操作步骤,【善用上司长处 管理卓有成效】第2步：在真实场景中练习和应用所学内容,【善用上司长处 管理卓有成效】第2步<br><br><b>操作：</b>在真实场景中练习和应用所学内容<br><br><i>来源：《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,操作步骤,【善用上司长处 管理卓有成效】第3步：反思总结，将方法内化为自己的能力,【善用上司长处 管理卓有成效】第3步<br><br><b>操作：</b>反思总结，将方法内化为自己的能力<br><br><i>来源：《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 1,【善用上司长处 管理卓有成效】练习场景<br><br>场景中练习和应用所学内容<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 2,【善用上司长处 管理卓有成效】练习场景<br><br>3. 反思总结，将方法内化为自己的能力<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 3,【善用上司长处 管理卓有成效】练习场景<br><br>需要应用「善用上司长处 管理卓有成效」的各种场景<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 4,【善用上司长处 管理卓有成效】练习场景<br><br>希望提升相关能力的日常练习<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 5,【善用上司长处 管理卓有成效】练习场景<br><br>教练：「关于「善用上司长处 管理卓有成效」，你目前的使用情况如何？<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
善用上司长处 管理卓有成效,练习场景,【善用上司长处 管理卓有成效】练习场景 6,【善用上司长处 管理卓有成效】练习场景<br><br>遇到过什么困难或困惑吗？」<br><br><i>运用所学的步骤进行练习</i>,善用上司长处-管理卓有成效 美-彼得德鲁克-教练 学习善用上司长处-管理卓有成效的核心要点和关键方法,《卓有成效的管理者》[美] 彼得·德鲁克 | 杏芙姐 | - **日期**：
